ano,estado,bioma,emissao_agro_tco2e,area_pastagem_degradada_ha,idade_media_pastagem,area_desmatada_total_ha,area_desmatada_ti_ha,area_desmatada_uc_ha,area_desmatada_bacia_ha,chuva_mm,potencial_sequestro_tco2e,receita_potencial_carbono_brl,risco_compliance_eudr_ha
2000,Acre,Amazônia,11983112.766974015,301162.3228214454,9.567163683083702,58431.99593544319,23025.812996459972,21076.248098791548,1885107.37781126,,602324.6456428908,30116232.282144543,44102.06109525152
2000,Alagoas,Caatinga,5848717.213013456,649536.1371039087,14.683874685289874,7603.479757568347,1711.0771557495127,1685.540448175049,498136.45702171617,,1299072.2742078174,64953613.710390866,3396.617603924562
2000,Alagoas,Mata Atlântica,8253008.8060765555,338083.25026361295,14.793216129163376,4112.624668194579,1923.9986419372574,3037.3630752563477,280491.4523059692,,676166.5005272259,33808325.026361294,4961.361717193605
2000,Amapá,Amazônia,2699003.3833545875,48434.98921376346,11.20478268755331,4507.599955181879,23025.812996459972,21076.248098791548,1885107.37781126,,96869.97842752692,4843498.921376346,44102.06109525152
2000,Amazonas,Amazônia,11146223.838447537,394614.8338438802,7.35671153678495,54560.22096828011,23025.812996459972,21076.248098791548,1885107.37781126,,789229.6676877604,39461483.38438802,44102.06109525152
2000,Bahia,Caatinga,71905615.28917865,7431764.714275419,13.983214302994499,184159.6638516602,1711.0771557495127,1685.540448175049,498136.45702171617,,14863529.428550838,743176471.4275419,3396.617603924562
2000,Bahia,Cerrado,9832597.398676025,283696.39439761895,11.357716001866132,76680.95201240797,7392.538529968255,3151.042023925782,1323313.6028666506,,567392.7887952379,28369639.439761896,10543.580553894037
2000,Bahia,Mata Atlântica,50418218.75252391,2717272.6038452643,14.94404463515464,57454.284676287825,1923.9986419372574,3037.3630752563477,280491.4523059692,,5434545.207690529,271727260.38452643,4961.361717193605
2000,Ceará,Caatinga,32445501.547563106,1580769.3379862036,12.780592973589256,115290.75938634611,1711.0771557495127,1685.540448175049,498136.45702171617,,3161538.675972407,158076933.79862037,3396.617603924562
2000,Distrito Federal,Cerrado,2041751.1802946606,109590.23159953175,11.908382680298935,4299.57592919312,7392.538529968255,3151.042023925782,1323313.6028666506,,219180.4631990635,10959023.159953175,10543.580553894037
